,latitude,longitude
0,38.9071923,-77.0368707
1,38.8048355,-77.0469214
2,39.7392358,-104.990251
3,32.7766642,-96.79698789999999
4,39.9525839,-75.1652215
5,38.84622359999999,-77.30637329999999
6,41.8781136,-87.6297982
7,40.7127837,-74.0059413
8,34.1517492,-118.5214282
9,38.8816208,-77.09098089999999
10,38.9071923,-77.0368707
11,38.8048355,-77.0469214
12,38.84622359999999,-77.30637329999999
13,39.7392358,-104.990251
14,39.9525839,-75.1652215
15,32.7766642,-96.79698789999999
16,39.0017772,-76.68746709999999
17,30.267153,-97.7430608
18,39.9611755,-82.99879419999999
19,39.4014955,-76.6019125
20,38.9071923,-77.0368707
21,38.8048355,-77.0469214
22,38.8816208,-77.09098089999999
23,33.95260200000001,-84.5499327
24,40.2986724,-83.067965
25,38.84622359999999,-77.30637329999999
26,41.8781136,-87.6297982
27,39.9525839,-75.1652215
28,32.7766642,-96.79698789999999
29,39.7392358,-104.990251
30,38.9071923,-77.0368707
31,38.8048355,-77.0469214
32,41.8781136,-87.6297982
33,39.9525839,-75.1652215
34,38.84622359999999,-77.30637329999999
35,39.4014955,-76.6019125
36,38.8816208,-77.09098089999999
37,32.7766642,-96.79698789999999
38,38.9784453,-76.4921829
39,40.44062479999999,-79.9958864
